Participant ID,Scenario,Actual,Percieved,Sample notes,Participant notes
2,3dti w/o reverb,"(-0.50,-1.74,1.16)","(-0.38,-0.37,1.50)",,For 3dti: one front-back reversal and tendancy to localize sounds more in the -X direction.
2,3dti w/o reverb,"(0.43,0.26,1.06)","(0.25,0.12,1.38)",,
2,3dti w/o reverb,"(0.76,-0.05,1.62)","(-0.64,-0.00,1.20)",,
2,3dti w/o reverb,"(0.08,0.70,0.92)","(-0.01,0.38,1.28)",,
2,3dti w/o reverb,"(1.52,-0.06,1.12)","(-1.16,0.00,0.70)",,
2,fmod w/o reverb,"(-0.87,-0.63,1.55)","(-0.56,-0.09,1.10)",,
2,3dti w/o reverb,"(-0.06,-0.42,1.30)","(-0.09,-0.40,1.44)",,
2,fmod w/o reverb,"(0.17,0.82,1.38)","(-0.07,0.34,0.95)",,
2,3dti w/o reverb,"(1.57,0.69,0.68)","(0.52,0.45,1.25)",,
2,fmod w/o reverb,"(0.81,1.19,2.10)","(-0.79,0.51,0.87)",,
2,3dti w/ reverb,"(0.06,0.80,1.08)","(-0.07,0.64,1.36)",,"For 3dti: +Z tendancy. For fmod, positions all sounds behind."
2,3dti w/ reverb,"(-0.53,-0.71,0.71)","(-0.36,-0.55,1.29)",,
2,3dti w/ reverb,"(0.60,0.46,1.36)","(0.83,0.04,1.80)",,
2,3dti w/ reverb,"(0.62,1.09,1.11)","(0.66,0.59,1.72)",,
2,fmod w/ reverb,"(1.13,0.42,0.62)","(-0.51,0.04,1.08)",,
2,3dti w/ reverb,"(-0.38,-1.37,0.57)","(-0.48,-0.80,1.23)",,
2,fmod w/ reverb,"(0.60,1.63,0.99)","(-0.52,0.50,1.10)",,
2,3dti w/ reverb,"(-1.30,-0.72,0.60)","(-0.88,-0.28,1.26)",,
2,3dti w/ reverb,"(-1.08,0.03,0.79)","(-0.76,0.03,0.24)",,
2,3dti w/ reverb,"(-0.34,-0.77,1.26)","(-0.15,-0.60,1.47)",,
3,control,"(-0.28,1.12,0.74)","(-0.26,0.83,0.70)",,Author.
3,control,"(1.55,0.07,1.56)","(1.34,0.11,1.57)",,
3,control,"(-0.95,-1.03,0.75)","(-0.61,-0.85,0.66)",,
3,control,"(-0.42,0.41,0.14)","(-0.20,0.47,0.22)",,
3,control,"(1.37,0.75,0.82)","(1.25,0.80,1.00)",,
3,3dti w/o reverb,"(1.28,-0.26,1.11)","(-0.35,-0.33,1.37)",,Massive centering tendancy.
3,3dti w/o reverb,"(0.69,0.81,1.81)","(-0.22,0.30,1.31)",,
3,fmod w/o reverb,"(-0.07,1.11,0.93)","(-0.16,0.17,1.08)",,
3,3dti w/o reverb,"(-0.81,1.49,0.92)","(-0.09,0.43,1.14)",,
3,3dti w/o reverb,"(-1.15,1.00,2.04)","(-0.51,0.53,1.42)",,
3,3dti w/o reverb,"(-0.36,1.29,0.62)","(-0.13,0.26,1.16)",,
3,3dti w/o reverb,"(0.28,0.16,1.32)","(-0.19,-0.13,1.53)",,
3,3dti w/o reverb,"(-0.01,-1.35,2.19)","(-0.31,-0.54,1.29)",,
3,3dti w/o reverb,"(1.32,0.36,1.46)","(0.34,0.08,1.16)",,
3,fmod w/o reverb,"(-0.93,0.96,2.17)","(-0.42,0.08,1.12)",,
3,fmod w/ reverb,"(1.30,-0.41,1.46)","(-0.56,-0.32,0.96)",,Massive centering tendancy for 3dti. Placing of all sound sources behind for fmod.
3,3dti w/ reverb,"(-1.64,-0.73,0.74)","(-0.25,-0.57,1.63)",,
3,fmod w/ reverb,"(-0.33,0.50,1.11)","(-0.27,0.18,1.06)",,
3,3dti w/ reverb,"(-0.25,-0.47,1.06)","(-0.18,-0.54,1.47)",,
3,fmod w/ reverb,"(0.99,-0.56,2.08)","(-0.21,-0.03,1.14)",,
3,3dti w/ reverb,"(-1.01,-0.93,2.32)","(-0.10,-0.47,1.52)",,
3,fmod w/ reverb,"(1.02,0.51,0.78)","(-0.30,0.24,1.07)",,
3,3dti w/ reverb,"(-1.15,-1.06,1.83)","(-0.32,-0.55,1.43)",,
3,fmod w/ reverb,"(-0.55,-1.48,0.62)","(-0.29,-0.29,0.98)",,
3,3dti w/ reverb,"(0.73,-1.60,1.83)","(-0.49,-0.51,1.45)",,
4,control,"(0.09,-0.57,1.02)","(0.02,-0.27,1.15)",,Film student. Didn't know about binaural audio. One outlier for control scenario because he didn't expect me to lay on the ground.
4,control,"(-1.22,0.52,0.58)","(-1.16,0.32,0.85)",,
4,control,"(0.67,-0.04,1.46)","(1.03,0.01,1.82)",,
4,control,"(-0.04,-1.03,0.24)","(-0.02,-0.73,1.00)",,
4,control,"(0.85,1.14,0.66)","(0.76,1.24,0.87)",,
4,fmod w/o reverb,"(-0.14,-0.43,1.13)","(-0.03,0.43,1.34)",,For 3dti: +Z tendancy.
4,3dti w/o reverb,"(-0.17,-0.72,0.94)","(0.34,-0.54,1.31)",,
4,fmod w/o reverb,"(-0.27,-0.60,1.37)","(-0.51,-0.19,1.35)",,
4,3dti w/o reverb,"(1.15,0.21,1.64)","(-1.13,0.07,1.65)",,
4,3dti w/o reverb,"(-0.66,-1.76,1.19)","(-1.30,-1.27,1.66)",,
4,fmod w/o reverb,"(0.41,-0.29,1.49)","(-0.67,-0.21,1.31)",,
4,3dti w/o reverb,"(-0.74,1.27,0.71)","(-0.00,1.05,1.59)",,
4,3dti w/o reverb,"(0.76,-0.29,0.80)","(0.11,-0.44,1.42)",,
4,fmod w/o reverb,"(-1.20,0.05,1.26)","(-0.46,-0.00,0.19)",,
4,fmod w/o reverb,"(-0.82,-0.18,1.42)","(-0.87,0.03,0.56)",,
5,control,"(-0.54,1.00,0.69)","(-0.38,0.82,0.76)",,Audio teacher. One outlier for control scenario because he didn't expect me to lay down.
5,control,"(1.19,-0.71,1.45)","(1.08,-0.48,1.43)",,
5,control,"(0.91,0.99,0.30)","(0.89,0.88,0.91)",,
5,control,"(-0.05,-0.37,1.34)","(-0.21,-0.20,1.32)",,
5,control,"(0.91,0.27,0.72)","(0.77,0.30,0.87)",,
5,3dti w/o reverb,"(0.96,1.05,2.03)","(0.31,0.61,1.21)",,Fmod: heavy centering and placement of sounds behind head. 3dti: centering as well and one obvious front-back reversal.
5,fmod w/o reverb,"(-0.40,0.24,0.94)","(-0.45,0.02,1.27)",,
5,3dti w/o reverb,"(0.05,-0.61,1.22)","(-0.47,-0.20,1.32)",,
5,fmod w/o reverb,"(0.25,-0.52,1.00)","(-0.63,-0.12,1.06)",,
5,fmod w/o reverb,"(0.12,-0.44,1.33)","(-0.76,0.02,1.25)",,
5,fmod w/o reverb,"(-0.08,0.76,1.31)","(-0.67,0.24,1.15)",,
5,3dti w/o reverb,"(-0.07,1.82,1.37)","(-0.50,0.36,1.60)",,
5,3dti w/o reverb,"(-1.32,-0.81,1.20)","(-0.62,-0.16,1.19)",,
5,fmod w/o reverb,"(0.82,-0.28,1.04)","(-0.49,-0.03,1.28)",,
5,3dti w/o reverb,"(-1.06,-0.00,0.68)","(0.43,0.06,1.16)",,
6,control,"(-1.05,-0.50,0.72)","(-0.85,-0.70,0.89)",,"Unknown background. For control, one outlier due to environment reverb."
6,control,"(-0.23,0.90,1.37)","(-0.42,0.63,1.25)",,
6,control,"(1.44,-0.36,0.28)","(-1.43,-0.55,1.18)",,
6,control,"(1.01,0.97,1.49)","(0.89,0.99,1.64)",,
6,control,"(1.15,0.28,0.38)","(0.67,0.41,0.74)",,
6,fmod w/o reverb,"(0.97,1.02,2.25)","(-0.35,0.62,1.28)",,"For fmod, placing all sources behind head. Same for 3dti."
6,3dti w/o reverb,"(-0.59,-1.45,1.66)","(-0.14,-0.43,1.41)",,
6,fmod w/o reverb,"(-0.21,-0.75,1.59)","(-0.22,-0.38,1.13)",,
6,fmod w/o reverb,"(0.31,0.18,1.07)","(-0.52,0.23,1.18)",,
6,3dti w/o reverb,"(0.96,0.59,0.69)","(-0.17,0.38,1.11)",,
6,3dti w/o reverb,"(0.20,-0.57,1.09)","(-0.23,-0.20,1.26)",,
6,3dti w/o reverb,"(0.88,0.43,0.65)","(-0.14,0.32,1.12)",,
6,3dti w/o reverb,"(0.27,0.31,1.25)","(0.17,0.44,1.13)",,
6,fmod w/o reverb,"(-0.10,0.40,1.36)","(-0.44,0.23,1.09)",,
6,3dti w/o reverb,"(-0.32,-0.61,0.88)","(-0.27,-0.52,1.04)",,
